id,indicator_ticker,record_date,value,is_estimated
10179,US_10Y,2025-06-20,4.38,f
10178,US_10Y,2025-06-18,4.38,f
10177,US_10Y,2025-06-17,4.39,f
10176,US_10Y,2025-06-16,4.46,f
10175,US_10Y,2025-06-13,4.41,f
10174,US_10Y,2025-06-12,4.36,f
10173,US_10Y,2025-06-11,4.41,f
10172,US_10Y,2025-06-10,4.47,f
10171,US_10Y,2025-06-09,4.49,f
10170,US_10Y,2025-06-06,4.51,f
10169,US_10Y,2025-06-05,4.4,f
10168,US_10Y,2025-06-04,4.37,f
10167,US_10Y,2025-06-03,4.46,f
10166,US_10Y,2025-06-02,4.46,f
10165,US_10Y,2025-05-30,4.41,f
10164,US_10Y,2025-05-29,4.43,f
10163,US_10Y,2025-05-28,4.47,f
10162,US_10Y,2025-05-27,4.43,f
10161,US_10Y,2025-05-23,4.51,f
10160,US_10Y,2025-05-22,4.54,f
10159,US_10Y,2025-05-21,4.58,f
10158,US_10Y,2025-05-20,4.48,f
10157,US_10Y,2025-05-19,4.46,f
10156,US_10Y,2025-05-16,4.43,f
10155,US_10Y,2025-05-15,4.45,f
10154,US_10Y,2025-05-14,4.53,f
10153,US_10Y,2025-05-13,4.49,f
10152,US_10Y,2025-05-12,4.45,f
10151,US_10Y,2025-05-09,4.37,f
10150,US_10Y,2025-05-08,4.37,f
10149,US_10Y,2025-05-07,4.26,f
10148,US_10Y,2025-05-06,4.3,f
10147,US_10Y,2025-05-05,4.36,f
10146,US_10Y,2025-05-02,4.33,f
10145,US_10Y,2025-05-01,4.25,f
10144,US_10Y,2025-04-30,4.17,f
10143,US_10Y,2025-04-29,4.19,f
10142,US_10Y,2025-04-28,4.23,f
10141,US_10Y,2025-04-25,4.29,f
10140,US_10Y,2025-04-24,4.32,f
10139,US_10Y,2025-04-23,4.4,f
10138,US_10Y,2025-04-22,4.41,f
10137,US_10Y,2025-04-21,4.42,f
10136,US_10Y,2025-04-17,4.34,f
10135,US_10Y,2025-04-16,4.29,f
10134,US_10Y,2025-04-15,4.35,f
10133,US_10Y,2025-04-14,4.38,f
10132,US_10Y,2025-04-11,4.48,f
10131,US_10Y,2025-04-10,4.4,f
10130,US_10Y,2025-04-09,4.34,f
10129,US_10Y,2025-04-08,4.26,f
10128,US_10Y,2025-04-07,4.15,f
10127,US_10Y,2025-04-04,4.01,f
10126,US_10Y,2025-04-03,4.06,f
10125,US_10Y,2025-04-02,4.2,f
10124,US_10Y,2025-04-01,4.17,f
10123,US_10Y,2025-03-31,4.23,f
10122,US_10Y,2025-03-28,4.27,f
10121,US_10Y,2025-03-27,4.38,f
10120,US_10Y,2025-03-26,4.35,f
10119,US_10Y,2025-03-25,4.31,f
10118,US_10Y,2025-03-24,4.34,f
10117,US_10Y,2025-03-21,4.25,f
10116,US_10Y,2025-03-20,4.24,f
10115,US_10Y,2025-03-19,4.25,f
10114,US_10Y,2025-03-18,4.29,f
10113,US_10Y,2025-03-17,4.31,f
10112,US_10Y,2025-03-14,4.31,f
10111,US_10Y,2025-03-13,4.27,f
10110,US_10Y,2025-03-12,4.32,f
10109,US_10Y,2025-03-11,4.28,f
10108,US_10Y,2025-03-10,4.22,f
10107,US_10Y,2025-03-07,4.32,f
10106,US_10Y,2025-03-06,4.29,f
10105,US_10Y,2025-03-05,4.28,f
10104,US_10Y,2025-03-04,4.22,f
10103,US_10Y,2025-03-03,4.16,f
10102,US_10Y,2025-02-28,4.24,f
10101,US_10Y,2025-02-27,4.29,f
10100,US_10Y,2025-02-26,4.25,f
10099,US_10Y,2025-02-25,4.3,f
10098,US_10Y,2025-02-24,4.4,f
10097,US_10Y,2025-02-21,4.42,f
10096,US_10Y,2025-02-20,4.5,f
10095,US_10Y,2025-02-19,4.53,f
10094,US_10Y,2025-02-18,4.55,f
10093,US_10Y,2025-02-14,4.47,f
10092,US_10Y,2025-02-13,4.52,f
10091,US_10Y,2025-02-12,4.62,f
10090,US_10Y,2025-02-11,4.54,f
10089,US_10Y,2025-02-10,4.51,f
10088,US_10Y,2025-02-07,4.49,f
10087,US_10Y,2025-02-06,4.45,f
10086,US_10Y,2025-02-05,4.43,f
10085,US_10Y,2025-02-04,4.52,f
10084,US_10Y,2025-02-03,4.54,f
10083,US_10Y,2025-01-31,4.58,f
10082,US_10Y,2025-01-30,4.52,f
10081,US_10Y,2025-01-29,4.55,f
10080,US_10Y,2025-01-28,4.55,f
10079,US_10Y,2025-01-27,4.53,f
10078,US_10Y,2025-01-24,4.63,f
10077,US_10Y,2025-01-23,4.65,f
10076,US_10Y,2025-01-22,4.6,f
10075,US_10Y,2025-01-21,4.57,f
10074,US_10Y,2025-01-17,4.61,f
10073,US_10Y,2025-01-16,4.61,f
10072,US_10Y,2025-01-15,4.66,f
10071,US_10Y,2025-01-14,4.78,f
10070,US_10Y,2025-01-13,4.79,f
10069,US_10Y,2025-01-10,4.77,f
10068,US_10Y,2025-01-09,4.68,f
10067,US_10Y,2025-01-08,4.67,f
10066,US_10Y,2025-01-07,4.67,f
10065,US_10Y,2025-01-06,4.62,f
10064,US_10Y,2025-01-03,4.6,f
10063,US_10Y,2025-01-02,4.57,f
